begin,end,id,flow,occupancy,speed,nVehEntered
43200.00,46800.00,e1det_688171462#2_0,77.00,1.51,11.89,79
43200.00,46800.00,e1det_688171462#2_1,33.00,0.68,9.33,33
43200.00,46800.00,e1det_688171462#2_2,171.00,5.97,4.26,171
43200.00,46800.00,e1det_688214484#0_0,14.00,0.45,4.57,15
43200.00,46800.00,e1det_688214484#0_1,8.00,0.25,4.32,8
43200.00,46800.00,e1det_688214484#0_2,36.00,1.08,6.87,36
46800.00,50400.00,e1det_412441780#1_0,8.00,0.21,5.48,8
46800.00,50400.00,e1det_412441780#1_1,16.00,0.42,6.23,16
46800.00,50400.00,e1det_688169644#0_0,5.00,0.06,22.88,5
46800.00,50400.00,e1det_688169644#0_1,0.00,0.00,-1.00,0
46800.00,50400.00,e1det_688169644#0_2,0.00,0.00,-1.00,0
46800.00,50400.00,e1det_688169644#0_3,37.00,1.13,4.85,37
46800.00,50400.00,e1det_688171462#2_0,49.00,0.90,9.98,49
46800.00,50400.00,e1det_688171462#2_1,17.00,0.42,7.43,18
46800.00,50400.00,e1det_688171462#2_2,144.00,4.70,4.54,144
46800.00,50400.00,e1det_688214484#0_0,1.00,0.11,2.52,1
46800.00,50400.00,e1det_688214484#0_1,0.00,0.00,-1.00,0
46800.00,50400.00,e1det_688214484#0_2,5.00,0.22,5.41,5
50400.00,54000.00,e1det_412441780#1_0,0.00,0.00,-1.00,0
50400.00,54000.00,e1det_412441780#1_1,1.00,0.01,12.00,1
50400.00,54000.00,e1det_688169644#0_0,1.00,0.00,25.23,1
50400.00,54000.00,e1det_688169644#0_1,0.00,0.00,-1.00,0
50400.00,54000.00,e1det_688169644#0_2,0.00,0.00,-1.00,0
50400.00,54000.00,e1det_688169644#0_3,0.00,0.00,-1.00,0
50400.00,54000.00,e1det_688171462#2_0,2.00,0.08,3.30,2
50400.00,54000.00,e1det_688171462#2_1,0.00,0.00,-1.00,0
50400.00,54000.00,e1det_688171462#2_2,0.00,0.00,-1.00,0
50400.00,54000.00,e1det_688214484#0_0,0.00,0.00,-1.00,0
50400.00,54000.00,e1det_688214484#0_1,0.00,0.00,-1.00,0
50400.00,54000.00,e1det_688214484#0_2,1.00,0.04,3.36,1
